RobTop — модуль «Найти предмет»: пул описаний
Всего: 10000 | easy:49 medium:982 hard:4000 impossible:4969
Формат: СЛОЖНОСТЬ | EN  ||  RU  ||  LV  ||  DE
EASY        | Find something plain  ||  Найди что-нибудь однотонное  ||  Atrodi kaut ko vienkrāsainu  ||  Finde etwas Einfarbiges
EASY        | Find something yellow  ||  Найди что-нибудь жёлтое  ||  Atrodi kaut ko dzeltenu  ||  Finde etwas Gelbes
EASY        | Find something heavy  ||  Найди что-нибудь тяжёлое  ||  Atrodi kaut ko smagu  ||  Finde etwas Schweres
EASY        | Find something purple  ||  Найди что-нибудь фиолетовое  ||  Atrodi kaut ko violetu  ||  Finde etwas Lila
EASY        | Find something flat  ||  Найди что-нибудь плоское  ||  Atrodi kaut ko plakanu  ||  Finde etwas Flaches
EASY        | Find something tiny  ||  Найди что-нибудь крошечное  ||  Atrodi kaut ko sīku  ||  Finde etwas Winziges
MEDIUM      | Find something brown and long  ||  Найди что-нибудь коричневое и длинное  ||  Atrodi kaut ko brūnu un garu  ||  Finde etwas Braunes und Langes
MEDIUM      | Find something long and sparkly  ||  Найди что-нибудь длинное и сверкающее  ||  Atrodi kaut ko garu un mirdzošu  ||  Finde etwas Langes und Funkelndes
MEDIUM      | Find something thick and rough  ||  Найди что-нибудь толстое и шершавое  ||  Atrodi kaut ko biezu un raupju  ||  Finde etwas Dickes und Raues
MEDIUM      | Find something pink and cold  ||  Найди что-нибудь розовое и холодное  ||  Atrodi kaut ko rozā un aukstu  ||  Finde etwas Rosa und Kaltes
MEDIUM      | Find something blue and rough  ||  Найди что-нибудь синее и шершавое  ||  Atrodi kaut ko zilu un raupju  ||  Finde etwas Blaues und Raues
MEDIUM      | Find something matte and light  ||  Найди что-нибудь матовое и лёгкое  ||  Atrodi kaut ko matētu un vieglu  ||  Finde etwas Mattes und Leichtes
MEDIUM      | Find something grey and huge  ||  Найди что-нибудь серое и огромное  ||  Atrodi kaut ko pelēku un milzīgu  ||  Finde etwas Graues und Riesiges
MEDIUM      | Find something small and cold  ||  Найди что-нибудь маленькое и холодное  ||  Atrodi kaut ko mazu un aukstu  ||  Finde etwas Kleines und Kaltes
MEDIUM      | Find something blue and striped  ||  Найди что-нибудь синее и полосатое  ||  Atrodi kaut ko zilu un svītrainu  ||  Finde etwas Blaues und Gestreiftes
MEDIUM      | Find something curved and heavy  ||  Найди что-нибудь изогнутое и тяжёлое  ||  Atrodi kaut ko izliektu un smagu  ||  Finde etwas Gebogenes und Schweres
MEDIUM      | Find something matte and striped  ||  Найди что-нибудь матовое и полосатое  ||  Atrodi kaut ko matētu un svītrainu  ||  Finde etwas Mattes und Gestreiftes
MEDIUM      | Find something round and shiny  ||  Найди что-нибудь круглое и блестящее  ||  Atrodi kaut ko apaļu un spīdīgu  ||  Finde etwas Rundes und Glaenzendes
MEDIUM      | Find something oval and striped  ||  Найди что-нибудь овальное и полосатое  ||  Atrodi kaut ko ovālu un svītrainu  ||  Finde etwas Ovales und Gestreiftes
MEDIUM      | Find something grey and curved  ||  Найди что-нибудь серое и изогнутое  ||  Atrodi kaut ko pelēku un izliektu  ||  Finde etwas Graues und Gebogenes
MEDIUM      | Find something brown and soft  ||  Найди что-нибудь коричневое и мягкое  ||  Atrodi kaut ko brūnu un mīkstu  ||  Finde etwas Braunes und Weiches
MEDIUM      | Find something thin and smooth  ||  Найди что-нибудь тонкое и гладкое  ||  Atrodi kaut ko plānu un gludu  ||  Finde etwas Duennes und Glattes
MEDIUM      | Find something green and square  ||  Найди что-нибудь зелёное и квадратное  ||  Atrodi kaut ko zaļu un kvadrātisku  ||  Finde etwas Gruenes und Quadratisches
MEDIUM      | Find something blue and narrow  ||  Найди что-нибудь синее и узкое  ||  Atrodi kaut ko zilu un šauru  ||  Finde etwas Blaues und Schmales
MEDIUM      | Find something orange and curved  ||  Найди что-нибудь оранжевое и изогнутое  ||  Atrodi kaut ko oranžu un izliektu  ||  Finde etwas Oranges und Gebogenes
MEDIUM      | Find something round and soft  ||  Найди что-нибудь круглое и мягкое  ||  Atrodi kaut ko apaļu un mīkstu  ||  Finde etwas Rundes und Weiches
MEDIUM      | Find something black and flat  ||  Найди что-нибудь чёрное и плоское  ||  Atrodi kaut ko melnu un plakanu  ||  Finde etwas Schwarzes und Flaches
MEDIUM      | Find something red and shiny  ||  Найди что-нибудь красное и блестящее  ||  Atrodi kaut ko sarkanu un spīdīgu  ||  Finde etwas Rotes und Glaenzendes
MEDIUM      | Find something sparkly and heavy  ||  Найди что-нибудь сверкающее и тяжёлое  ||  Atrodi kaut ko mirdzošu un smagu  ||  Finde etwas Funkelndes und Schweres
MEDIUM      | Find something light blue and oval  ||  Найди что-нибудь голубое и овальное  ||  Atrodi kaut ko gaišzilu un ovālu  ||  Finde etwas Hellblaues und Ovales
MEDIUM      | Find something huge and heavy  ||  Найди что-нибудь огромное и тяжёлое  ||  Atrodi kaut ko milzīgu un smagu  ||  Finde etwas Riesiges und Schweres
MEDIUM      | Find something small and transparent  ||  Найди что-нибудь маленькое и прозрачное  ||  Atrodi kaut ko mazu un caurspīdīgu  ||  Finde etwas Kleines und Durchsichtiges
MEDIUM      | Find something orange and flat  ||  Найди что-нибудь оранжевое и плоское  ||  Atrodi kaut ko oranžu un plakanu  ||  Finde etwas Oranges und Flaches
MEDIUM      | Find something round and narrow  ||  Найди что-нибудь круглое и узкое  ||  Atrodi kaut ko apaļu un šauru  ||  Finde etwas Rundes und Schmales
MEDIUM      | Find something curved and big  ||  Найди что-нибудь изогнутое и большое  ||  Atrodi kaut ko izliektu un lielu  ||  Finde etwas Gebogenes und Grosses
MEDIUM      | Find something green and short  ||  Найди что-нибудь зелёное и короткое  ||  Atrodi kaut ko zaļu un īsu  ||  Finde etwas Gruenes und Kurzes
MEDIUM      | Find something curved and dry  ||  Найди что-нибудь изогнутое и сухое  ||  Atrodi kaut ko izliektu un sausu  ||  Finde etwas Gebogenes und Trockenes
MEDIUM      | Find something thin and striped  ||  Найди что-нибудь тонкое и полосатое  ||  Atrodi kaut ko plānu un svītrainu  ||  Finde etwas Duennes und Gestreiftes
MEDIUM      | Find something narrow and rough  ||  Найди что-нибудь узкое и шершавое  ||  Atrodi kaut ko šauru un raupju  ||  Finde etwas Schmales und Raues
MEDIUM      | Find something green and shiny  ||  Найди что-нибудь зелёное и блестящее  ||  Atrodi kaut ko zaļu un spīdīgu  ||  Finde etwas Gruenes und Glaenzendes
MEDIUM      | Find something white and soft  ||  Найди что-нибудь белое и мягкое  ||  Atrodi kaut ko baltu un mīkstu  ||  Finde etwas Weisses und Weiches
MEDIUM      | Find something purple and sticky  ||  Найди что-нибудь фиолетовое и липкое  ||  Atrodi kaut ko violetu un lipīgu  ||  Finde etwas Lila und Klebriges
MEDIUM      | Find something square and fluffy  ||  Найди что-нибудь квадратное и пушистое  ||  Atrodi kaut ko kvadrātisku un pūkainu  ||  Finde etwas Quadratisches und Flauschiges
MEDIUM      | Find something grey and plain  ||  Найди что-нибудь серое и однотонное  ||  Atrodi kaut ko pelēku un vienkrāsainu  ||  Finde etwas Graues und Einfarbiges
MEDIUM      | Find something yellow and dry  ||  Найди что-нибудь жёлтое и сухое  ||  Atrodi kaut ko dzeltenu un sausu  ||  Finde etwas Gelbes und Trockenes
MEDIUM      | Find something yellow and small  ||  Найди что-нибудь жёлтое и маленькое  ||  Atrodi kaut ko dzeltenu un mazu  ||  Finde etwas Gelbes und Kleines
MEDIUM      | Find something tiny and striped  ||  Найди что-нибудь крошечное и полосатое  ||  Atrodi kaut ko sīku un svītrainu  ||  Finde etwas Winziges und Gestreiftes
MEDIUM      | Find something golden and thick  ||  Найди что-нибудь золотое и толстое  ||  Atrodi kaut ko zeltainu un biezu  ||  Finde etwas Goldenes und Dickes
MEDIUM      | Find something pink and big  ||  Найди что-нибудь розовое и большое  ||  Atrodi kaut ko rozā un lielu  ||  Finde etwas Rosa und Grosses
MEDIUM      | Find something silver and small  ||  Найди что-нибудь серебряное и маленькое  ||  Atrodi kaut ko sudrabainu un mazu  ||  Finde etwas Silbernes und Kleines
MEDIUM      | Find something thin and soft  ||  Найди что-нибудь тонкое и мягкое  ||  Atrodi kaut ko plānu un mīkstu  ||  Finde etwas Duennes und Weiches
MEDIUM      | Find something green and light  ||  Найди что-нибудь зелёное и лёгкое  ||  Atrodi kaut ko zaļu un vieglu  ||  Finde etwas Gruenes und Leichtes
MEDIUM      | Find something blue and plain  ||  Найди что-нибудь синее и однотонное  ||  Atrodi kaut ko zilu un vienkrāsainu  ||  Finde etwas Blaues und Einfarbiges
MEDIUM      | Find something black and thin  ||  Найди что-нибудь чёрное и тонкое  ||  Atrodi kaut ko melnu un plānu  ||  Finde etwas Schwarzes und Duennes
MEDIUM      | Find something golden and plain  ||  Найди что-нибудь золотое и однотонное  ||  Atrodi kaut ko zeltainu un vienkrāsainu  ||  Finde etwas Goldenes und Einfarbiges
MEDIUM      | Find something white and thin  ||  Найди что-нибудь белое и тонкое  ||  Atrodi kaut ko baltu un plānu  ||  Finde etwas Weisses und Duennes
MEDIUM      | Find something big and matte  ||  Найди что-нибудь большое и матовое  ||  Atrodi kaut ko lielu un matētu  ||  Finde etwas Grosses und Mattes
MEDIUM      | Find something thick and soft  ||  Найди что-нибудь толстое и мягкое  ||  Atrodi kaut ko biezu un mīkstu  ||  Finde etwas Dickes und Weiches
MEDIUM      | Find something huge and smooth  ||  Найди что-нибудь огромное и гладкое  ||  Atrodi kaut ko milzīgu un gludu  ||  Finde etwas Riesiges und Glattes
MEDIUM      | Find something thick and plain  ||  Найди что-нибудь толстое и однотонное  ||  Atrodi kaut ko biezu un vienkrāsainu  ||  Finde etwas Dickes und Einfarbiges
MEDIUM      | Find something smooth and matte  ||  Найди что-нибудь гладкое и матовое  ||  Atrodi kaut ko gludu un matētu  ||  Finde etwas Glattes und Mattes
MEDIUM      | Find something flat and cold  ||  Найди что-нибудь плоское и холодное  ||  Atrodi kaut ko plakanu un aukstu  ||  Finde etwas Flaches und Kaltes
MEDIUM      | Find something white and thick  ||  Найди что-нибудь белое и толстое  ||  Atrodi kaut ko baltu un biezu  ||  Finde etwas Weisses und Dickes
MEDIUM      | Find something rough and heavy  ||  Найди что-нибудь шершавое и тяжёлое  ||  Atrodi kaut ko raupju un smagu  ||  Finde etwas Raues und Schweres
MEDIUM      | Find something pointy and fluffy  ||  Найди что-нибудь острое и пушистое  ||  Atrodi kaut ko asu un pūkainu  ||  Finde etwas Spitzes und Flauschiges
MEDIUM      | Find something red and heavy  ||  Найди что-нибудь красное и тяжёлое  ||  Atrodi kaut ko sarkanu un smagu  ||  Finde etwas Rotes und Schweres
MEDIUM      | Find something oval and wet  ||  Найди что-нибудь овальное и мокрое  ||  Atrodi kaut ko ovālu un slapju  ||  Finde etwas Ovales und Nasses
MEDIUM      | Find something big and spotted  ||  Найди что-нибудь большое и пятнистое  ||  Atrodi kaut ko lielu un raibu  ||  Finde etwas Grosses und Gepunktetes
MEDIUM      | Find something short and rough  ||  Найди что-нибудь короткое и шершавое  ||  Atrodi kaut ko īsu un raupju  ||  Finde etwas Kurzes und Raues
MEDIUM      | Find something golden and short  ||  Найди что-нибудь золотое и короткое  ||  Atrodi kaut ko zeltainu un īsu  ||  Finde etwas Goldenes und Kurzes
MEDIUM      | Find something narrow and striped  ||  Найди что-нибудь узкое и полосатое  ||  Atrodi kaut ko šauru un svītrainu  ||  Finde etwas Schmales und Gestreiftes
MEDIUM      | Find something red and tiny  ||  Найди что-нибудь красное и крошечное  ||  Atrodi kaut ko sarkanu un sīku  ||  Finde etwas Rotes und Winziges
MEDIUM      | Find something yellow and flat  ||  Найди что-нибудь жёлтое и плоское  ||  Atrodi kaut ko dzeltenu un plakanu  ||  Finde etwas Gelbes und Flaches
MEDIUM      | Find something wide and wet  ||  Найди что-нибудь широкое и мокрое  ||  Atrodi kaut ko platu un slapju  ||  Finde etwas Breites und Nasses
MEDIUM      | Find something narrow and light  ||  Найди что-нибудь узкое и лёгкое  ||  Atrodi kaut ko šauru un vieglu  ||  Finde etwas Schmales und Leichtes
MEDIUM      | Find something thin and huge  ||  Найди что-нибудь тонкое и огромное  ||  Atrodi kaut ko plānu un milzīgu  ||  Finde etwas Duennes und Riesiges
MEDIUM      | Find something pink and warm  ||  Найди что-нибудь розовое и тёплое  ||  Atrodi kaut ko rozā un siltu  ||  Finde etwas Rosa und Warmes
MEDIUM      | Find something light blue and small  ||  Найди что-нибудь голубое и маленькое  ||  Atrodi kaut ko gaišzilu un mazu  ||  Finde etwas Hellblaues und Kleines
MEDIUM      | Find something golden and square  ||  Найди что-нибудь золотое и квадратное  ||  Atrodi kaut ko zeltainu un kvadrātisku  ||  Finde etwas Goldenes und Quadratisches
MEDIUM      | Find something grey and tiny  ||  Найди что-нибудь серое и крошечное  ||  Atrodi kaut ko pelēku un sīku  ||  Finde etwas Graues und Winziges
MEDIUM      | Find something orange and smooth  ||  Найди что-нибудь оранжевое и гладкое  ||  Atrodi kaut ko oranžu un gludu  ||  Finde etwas Oranges und Glattes
MEDIUM      | Find something golden and transparent  ||  Найди что-нибудь золотое и прозрачное  ||  Atrodi kaut ko zeltainu un caurspīdīgu  ||  Finde etwas Goldenes und Durchsichtiges
MEDIUM      | Find something brown and wet  ||  Найди что-нибудь коричневое и мокрое  ||  Atrodi kaut ko brūnu un slapju  ||  Finde etwas Braunes und Nasses
MEDIUM      | Find something square and striped  ||  Найди что-нибудь квадратное и полосатое  ||  Atrodi kaut ko kvadrātisku un svītrainu  ||  Finde etwas Quadratisches und Gestreiftes
MEDIUM      | Find something blue and heavy  ||  Найди что-нибудь синее и тяжёлое  ||  Atrodi kaut ko zilu un smagu  ||  Finde etwas Blaues und Schweres
MEDIUM      | Find something oval and light  ||  Найди что-нибудь овальное и лёгкое  ||  Atrodi kaut ko ovālu un vieglu  ||  Finde etwas Ovales und Leichtes
MEDIUM      | Find something white and smooth  ||  Найди что-нибудь белое и гладкое  ||  Atrodi kaut ko baltu un gludu  ||  Finde etwas Weisses und Glattes
MEDIUM      | Find something green and dry  ||  Найди что-нибудь зелёное и сухое  ||  Atrodi kaut ko zaļu un sausu  ||  Finde etwas Gruenes und Trockenes
MEDIUM      | Find something sticky and transparent  ||  Найди что-нибудь липкое и прозрачное  ||  Atrodi kaut ko lipīgu un caurspīdīgu  ||  Finde etwas Klebriges und Durchsichtiges
MEDIUM      | Find something round and wet  ||  Найди что-нибудь круглое и мокрое  ||  Atrodi kaut ko apaļu un slapju  ||  Finde etwas Rundes und Nasses
MEDIUM      | Find something tiny and warm  ||  Найди что-нибудь крошечное и тёплое  ||  Atrodi kaut ko sīku un siltu  ||  Finde etwas Winziges und Warmes
MEDIUM      | Find something thick and small  ||  Найди что-нибудь толстое и маленькое  ||  Atrodi kaut ko biezu un mazu  ||  Finde etwas Dickes und Kleines
MEDIUM      | Find something oval and sparkly  ||  Найди что-нибудь овальное и сверкающее  ||  Atrodi kaut ko ovālu un mirdzošu  ||  Finde etwas Ovales und Funkelndes
MEDIUM      | Find something shiny and warm  ||  Найди что-нибудь блестящее и тёплое  ||  Atrodi kaut ko spīdīgu un siltu  ||  Finde etwas Glaenzendes und Warmes
MEDIUM      | Find something wet and striped  ||  Найди что-нибудь мокрое и полосатое  ||  Atrodi kaut ko slapju un svītrainu  ||  Finde etwas Nasses und Gestreiftes
MEDIUM      | Find something grey and flat  ||  Найди что-нибудь серое и плоское  ||  Atrodi kaut ko pelēku un plakanu  ||  Finde etwas Graues und Flaches
MEDIUM      | Find something blue and sparkly  ||  Найди что-нибудь синее и сверкающее  ||  Atrodi kaut ko zilu un mirdzošu  ||  Finde etwas Blaues und Funkelndes
MEDIUM      | Find something purple and light  ||  Найди что-нибудь фиолетовое и лёгкое  ||  Atrodi kaut ko violetu un vieglu  ||  Finde etwas Lila und Leichtes
MEDIUM      | Find something light blue and spotted  ||  Найди что-нибудь голубое и пятнистое  ||  Atrodi kaut ko gaišzilu un raibu  ||  Finde etwas Hellblaues und Gepunktetes
MEDIUM      | Find something thick and sparkly  ||  Найди что-нибудь толстое и сверкающее  ||  Atrodi kaut ko biezu un mirdzošu  ||  Finde etwas Dickes und Funkelndes
MEDIUM      | Find something yellow and shiny  ||  Найди что-нибудь жёлтое и блестящее  ||  Atrodi kaut ko dzeltenu un spīdīgu  ||  Finde etwas Gelbes und Glaenzendes
MEDIUM      | Find something red and square  ||  Найди что-нибудь красное и квадратное  ||  Atrodi kaut ko sarkanu un kvadrātisku  ||  Finde etwas Rotes und Quadratisches
MEDIUM      | Find something golden and round  ||  Найди что-нибудь золотое и круглое  ||  Atrodi kaut ko zeltainu un apaļu  ||  Finde etwas Goldenes und Rundes
MEDIUM      | Find something brown and shiny  ||  Найди что-нибудь коричневое и блестящее  ||  Atrodi kaut ko brūnu un spīdīgu  ||  Finde etwas Braunes und Glaenzendes
MEDIUM      | Find something blue and transparent  ||  Найди что-нибудь синее и прозрачное  ||  Atrodi kaut ko zilu un caurspīdīgu  ||  Finde etwas Blaues und Durchsichtiges
MEDIUM      | Find something sticky and heavy  ||  Найди что-нибудь липкое и тяжёлое  ||  Atrodi kaut ko lipīgu un smagu  ||  Finde etwas Klebriges und Schweres
MEDIUM      | Find something light blue and square  ||  Найди что-нибудь голубое и квадратное  ||  Atrodi kaut ko gaišzilu un kvadrātisku  ||  Finde etwas Hellblaues und Quadratisches
MEDIUM      | Find something flat and heavy  ||  Найди что-нибудь плоское и тяжёлое  ||  Atrodi kaut ko plakanu un smagu  ||  Finde etwas Flaches und Schweres
MEDIUM      | Find something thick and wide  ||  Найди что-нибудь толстое и широкое  ||  Atrodi kaut ko biezu un platu  ||  Finde etwas Dickes und Breites
MEDIUM      | Find something thick and matte  ||  Найди что-нибудь толстое и матовое  ||  Atrodi kaut ko biezu un matētu  ||  Finde etwas Dickes und Mattes
MEDIUM      | Find something silver and curved  ||  Найди что-нибудь серебряное и изогнутое  ||  Atrodi kaut ko sudrabainu un izliektu  ||  Finde etwas Silbernes und Gebogenes
MEDIUM      | Find something long and warm  ||  Найди что-нибудь длинное и тёплое  ||  Atrodi kaut ko garu un siltu  ||  Finde etwas Langes und Warmes
MEDIUM      | Find something short and shiny  ||  Найди что-нибудь короткое и блестящее  ||  Atrodi kaut ko īsu un spīdīgu  ||  Finde etwas Kurzes und Glaenzendes
MEDIUM      | Find something wide and fluffy  ||  Найди что-нибудь широкое и пушистое  ||  Atrodi kaut ko platu un pūkainu  ||  Finde etwas Breites und Flauschiges
MEDIUM      | Find something brown and thin  ||  Найди что-нибудь коричневое и тонкое  ||  Atrodi kaut ko brūnu un plānu  ||  Finde etwas Braunes und Duennes
MEDIUM      | Find something purple and tiny  ||  Найди что-нибудь фиолетовое и крошечное  ||  Atrodi kaut ko violetu un sīku  ||  Finde etwas Lila und Winziges
MEDIUM      | Find something black and wet  ||  Найди что-нибудь чёрное и мокрое  ||  Atrodi kaut ko melnu un slapju  ||  Finde etwas Schwarzes und Nasses
MEDIUM      | Find something white and spotted  ||  Найди что-нибудь белое и пятнистое  ||  Atrodi kaut ko baltu un raibu  ||  Finde etwas Weisses und Gepunktetes
MEDIUM      | Find something heavy and spotted  ||  Найди что-нибудь тяжёлое и пятнистое  ||  Atrodi kaut ko smagu un raibu  ||  Finde etwas Schweres und Gepunktetes
MEDIUM      | Find something square and wide  ||  Найди что-нибудь квадратное и широкое  ||  Atrodi kaut ko kvadrātisku un platu  ||  Finde etwas Quadratisches und Breites
MEDIUM      | Find something thick and big  ||  Найди что-нибудь толстое и большое  ||  Atrodi kaut ko biezu un lielu  ||  Finde etwas Dickes und Grosses
MEDIUM      | Find something tiny and rough  ||  Найди что-нибудь крошечное и шершавое  ||  Atrodi kaut ko sīku un raupju  ||  Finde etwas Winziges und Raues
MEDIUM      | Find something golden and rough  ||  Найди что-нибудь золотое и шершавое  ||  Atrodi kaut ko zeltainu un raupju  ||  Finde etwas Goldenes und Raues
MEDIUM      | Find something pink and thin  ||  Найди что-нибудь розовое и тонкое  ||  Atrodi kaut ko rozā un plānu  ||  Finde etwas Rosa und Duennes
MEDIUM      | Find something oval and matte  ||  Найди что-нибудь овальное и матовое  ||  Atrodi kaut ko ovālu un matētu  ||  Finde etwas Ovales und Mattes
MEDIUM      | Find something black and heavy  ||  Найди что-нибудь чёрное и тяжёлое  ||  Atrodi kaut ko melnu un smagu  ||  Finde etwas Schwarzes und Schweres
MEDIUM      | Find something white and light  ||  Найди что-нибудь белое и лёгкое  ||  Atrodi kaut ko baltu un vieglu  ||  Finde etwas Weisses und Leichtes
MEDIUM      | Find something matte and heavy  ||  Найди что-нибудь матовое и тяжёлое  ||  Atrodi kaut ko matētu un smagu  ||  Finde etwas Mattes und Schweres
MEDIUM      | Find something round and dry  ||  Найди что-нибудь круглое и сухое  ||  Atrodi kaut ko apaļu un sausu  ||  Finde etwas Rundes und Trockenes
MEDIUM      | Find something white and hard  ||  Найди что-нибудь белое и твёрдое  ||  Atrodi kaut ko baltu un cietu  ||  Finde etwas Weisses und Hartes
MEDIUM      | Find something grey and round  ||  Найди что-нибудь серое и круглое  ||  Atrodi kaut ko pelēku un apaļu  ||  Finde etwas Graues und Rundes
MEDIUM      | Find something purple and square  ||  Найди что-нибудь фиолетовое и квадратное  ||  Atrodi kaut ko violetu un kvadrātisku  ||  Finde etwas Lila und Quadratisches
MEDIUM      | Find something yellow and square  ||  Найди что-нибудь жёлтое и квадратное  ||  Atrodi kaut ko dzeltenu un kvadrātisku  ||  Finde etwas Gelbes und Quadratisches
MEDIUM      | Find something yellow and striped  ||  Найди что-нибудь жёлтое и полосатое  ||  Atrodi kaut ko dzeltenu un svītrainu  ||  Finde etwas Gelbes und Gestreiftes
MEDIUM      | Find something small and matte  ||  Найди что-нибудь маленькое и матовое  ||  Atrodi kaut ko mazu un matētu  ||  Finde etwas Kleines und Mattes
MEDIUM      | Find something curved and wet  ||  Найди что-нибудь изогнутое и мокрое  ||  Atrodi kaut ko izliektu un slapju  ||  Finde etwas Gebogenes und Nasses
MEDIUM      | Find something huge and spotted  ||  Найди что-нибудь огромное и пятнистое  ||  Atrodi kaut ko milzīgu un raibu  ||  Finde etwas Riesiges und Gepunktetes
MEDIUM      | Find something brown and square  ||  Найди что-нибудь коричневое и квадратное  ||  Atrodi kaut ko brūnu un kvadrātisku  ||  Finde etwas Braunes und Quadratisches
